team_name,avg_spacing,std_spacing,min_spacing,won
RRG,661.4495,226.5502,86.74532,0
KARMINE CORP,789.36835,256.17285,165.40279,1
NIP,780.40436,246.8477,164.46605,1
TEAM VITALITY,760.79614,273.31055,172.77242,0
ASCEND,729.9167,264.90213,124.86947,0
SAVE THE GAME,654.86993,245.68115,112.38375,0
KARMINE CORP,718.73596,278.32504,169.12935,1
SAVE THE GAME,701.2188,264.4399,171.32732,1
REDEMPTION,718.7336,259.23108,114.262115,0
NIP,741.1312,256.5177,134.1203,0
TEAM VITALITY,659.94934,259.4282,63.900677,1
ASCEND,670.9001,250.95384,98.745964,1
SAVE THE GAME,677.3546,257.78903,82.67689,1
RRG,693.9353,232.66438,111.70727,0
REDEMPTION,706.9403,235.65845,108.71317,0
TEAM VITALITY,700.9622,221.54984,195.8798,1
NIP,770.86176,218.12639,243.09566,1
SAVE THE GAME,658.5828,244.4556,92.30203,0
TEAM VITALITY,697.40826,268.69672,81.4753,1
NIP,809.24316,273.48575,307.6272,1
SAVE THE GAME,635.0392,225.09164,134.45822,0
REDEMPTION,707.3314,254.2692,74.95223,0
SAVE THE GAME,742.2767,292.32312,94.408264,1
KARMINE CORP,758.9309,264.7299,208.97583,1
GEEKAY ESPORTS,774.43243,256.76242,186.37123,1
REDEMPTION,732.9054,233.4687,245.35364,0
NIP,698.36707,238.46399,134.20966,0
TEAM VITALITY,751.45294,239.97018,173.1535,1
KARMINE CORP,747.0542,264.43088,95.29898,1
GEEKAY ESPORTS,743.8049,252.90552,73.78339,1
REDEMPTION,716.0058,265.1602,138.31691,0
TEAM VITALITY,683.22656,252.49466,96.751854,1
GEEKAY ESPORTS,718.16583,271.44598,163.94989,1
KARMINE CORP,745.66656,269.30573,184.88084,1
KARMINE CORP,760.5039,255.78145,109.01957,1
NIP,676.0617,235.2901,202.33911,0
REDEMPTION,755.09845,250.83258,104.280846,0
ASCEND,715.57806,243.55727,177.96393,1
NIP,787.6199,242.2143,142.97437,1
GEEKAY ESPORTS,747.58167,252.96527,104.79148,1
ASCEND,760.8911,231.10066,204.6836,1
GEEKAY ESPORTS,732.51935,258.30344,113.78477,0
STARTPOINT,749.046,257.94385,63.19487,1
STARTPOINT,756.7393,266.3539,63.840103,1
GEEKAY ESPORTS,759.6004,232.19896,150.16481,1
STARTPOINT,740.8648,233.66093,152.19252,1
ASCEND,709.59607,279.38205,138.2618,0
NIP,807.51324,274.97784,256.3241,1
ASCEND,717.0695,250.7653,156.30078,1
100%,758.14636,234.14154,189.85803,0
ASCEND,706.95184,259.2058,151.76805,0
100%,739.249,262.59906,84.7378,1
100%,709.7771,274.48483,43.73895,0
100%,746.654,246.70377,129.25287,1
100%,745.39667,275.1903,200.19823,1
KARMINE CORP,749.2663,247.12508,133.14792,1
KARMINE CORP,746.0238,262.79376,164.77289,0
KARMINE CORP,679.71246,251.37375,78.838524,0
KARMINE CORP,692.16095,257.99677,161.20607,1
KARMINE CORP,742.6143,257.6087,133.26003,1
NIP,714.918,233.4344,187.05577,1
NIP,772.3219,267.36633,127.6937,0
NIP,719.7814,207.36526,287.93057,0
NIP,717.9046,239.22598,229.36443,1
NIP,703.7317,262.53516,146.326,0
TEAM VITALITY,698.03217,264.75998,156.44429,1
TEAM VITALITY,705.0467,258.77896,95.301216,1
TEAM VITALITY,707.3286,251.79683,193.70152,0
TEAM VITALITY,753.46436,265.9159,135.7342,1
TEAM VITALITY,700.87897,256.8485,132.91454,0
TEAM VITALITY,667.3845,265.01242,116.34812,1
100%,750.5774,263.6813,100.938576,0
100%,742.1456,234.20001,45.94408,1
100%,729.66864,235.48364,226.24292,0
TEAM VITALITY,733.755,249.4457,212.65973,0
TEAM VITALITY,658.7566,241.8926,77.70004,0
TEAM VITALITY,703.93286,252.51384,155.41637,1
TEAM VITALITY,719.8221,268.56122,175.4701,1
KARMINE CORP,727.3411,232.24129,221.80388,1
KARMINE CORP,740.66583,240.11061,94.29532,1
KARMINE CORP,733.3605,247.29662,220.48749,1
KARMINE CORP,739.66205,255.95592,53.704502,1
KARMINE CORP,747.9587,260.30594,115.25589,1
KARMINE CORP,778.6801,270.37476,257.52042,1
KARMINE CORP,771.8709,278.6855,118.13389,1
KARMINE CORP,716.12506,220.42018,256.5079,1
WASSUP,709.1766,268.32382,83.26926,0
WASSUP,662.6392,277.08844,75.54736,0
WASSUP,657.8033,274.9515,133.81557,0
9LIVES,740.8269,228.67426,187.23293,1
9LIVES,741.64996,269.44638,85.75448,0
9LIVES,697.07806,258.57758,55.30637,0
9LIVES,719.3435,227.95964,117.73391,0
PIRATES,749.1697,255.12724,126.0714,1
PIRATES,748.37244,251.20798,107.871956,0
TREE LAMP,739.95874,281.17172,104.36518,0
REBELLION,780.6452,259.82062,266.59882,1
PIRATES,753.6362,247.35405,188.80849,1
TREE LAMP,704.8741,246.12906,123.24818,0
REBELLION,774.7441,279.32745,202.87373,0
PIRATES,719.477,253.40663,161.64919,0
THE WOO,686.4639,217.35782,198.52051,1
ULTIMATES,774.8035,280.2673,110.725044,1
PIRATES,713.6067,264.05795,149.14442,0
TREE LAMP,780.0818,234.8577,180.31184,0
ULTIMATES,691.4472,263.18896,63.539734,1
THE WOO,696.94946,276.4319,160.46921,0
PIRATES,703.5295,280.7621,139.2332,1
DELETED,791.57697,230.09752,233.04204,0
REBELLION,791.1257,249.51968,270.80496,0
THE WOO,738.86536,269.54974,97.77253,0
PIRATES,764.4183,226.70694,302.108,1
REBELLION,782.1744,254.28783,115.70138,0
9LIVES,723.2532,276.0524,57.94061,1
NAC,715.2345,266.0278,99.234314,0
REBELLION,787.038,253.00299,133.26665,0
NAC,727.4347,238.25687,203.13777,0
WASSUP,686.9712,236.18568,104.41819,1
9LIVES,714.5546,282.23666,50.40956,1
REBELLION,762.6511,255.42296,147.91774,1
NAC,744.9107,265.98416,89.5567,0
WASSUP,719.1742,252.89337,129.78238,1
DELETED,778.6973,258.65002,110.0884,1
REBELLION,831.10077,259.84793,117.996864,1
THE ULTIMATES,730.89984,252.70456,148.04572,1
WASSUP,670.19855,280.03836,106.71677,1
REBELLION,797.8566,254.37527,89.161476,0
DELETED,750.6297,249.45732,73.368355,1
THE ULTIMATES,704.8313,258.02695,81.64817,1
DELETED,783.74615,244.27216,143.02942,1
REBELLION,813.23676,239.89503,153.24232,1
COMPLEXITY,743.6434,247.82811,183.77455,0
WASSUP,699.78406,248.62167,185.0628,0
COMPLEXITY,693.29144,226.72682,206.71362,0
DELETED GAMING,776.2703,273.4143,111.7712,1
DELETED,758.5455,268.12872,129.01263,0
PIRATES,717.49994,241.71373,145.23048,0
WASSUP,662.45856,231.18617,116.69659,1
WASSUP,576.8264,240.3938,59.73332,0
WASSUP,701.9707,248.6952,69.42205,0
DELETED GAMING,755.7713,266.9747,68.82435,1
DELETED GAMING,804.2127,254.31941,184.04652,1
REBELLION,758.59216,239.55336,230.57391,0
REBELLION,760.4966,223.60742,291.9376,1
REBELLION,793.2639,270.54517,89.10171,1
TREE LAMP,728.38574,236.76166,130.6499,0
TREE LAMP,714.661,259.16064,161.66988,0
TREE LAMP,769.8472,291.3511,168.51344,0
OMELETTE,796.30597,235.45502,205.97713,1
OMELETTE,729.8411,233.78165,170.27309,0
OMELETTE,761.6504,249.93842,111.996925,0
THE ULTIMATES,696.1441,251.5335,87.27411,0
THE ULTIMATES,737.5208,279.82285,130.29509,0
DELETED,801.36554,246.07657,190.83315,0
9LIVES,666.6235,216.12135,178.55286,1
9LIVES,734.10364,267.31927,123.022705,0
9LIVES,709.34973,277.46945,151.3962,1
DELETED,778.06964,279.76187,205.77974,1
9LIVES,769.4104,257.1138,154.19145,1
DELETED,721.8057,219.82057,162.24281,1
DELETED,742.1983,247.57713,183.9062,0
COMPLEXITY,680.1877,253.25795,72.61141,1
TEAM EVO,736.3292,246.66212,207.18451,0
COMPLEXITY,708.6487,255.84668,100.048065,1
TEAM EVO,717.9722,262.66528,151.95139,0
TEAM EVO,714.72644,256.90408,108.66091,0
TEAM EVO,717.7494,289.1173,99.813835,0
COMPLEXITY,723.62427,261.61395,238.00108,0
9LIVES,770.412,256.2208,101.58197,0
9LIVES,727.04895,243.61542,106.73783,1
REBELLION,741.2413,245.0483,112.52451,0
REBELLION,768.96765,287.96188,165.4131,1
9LIVES,738.1358,267.67294,109.39127,0
REBELLION,796.5225,230.99394,205.09569,0
ULTIMATES,690.5754,245.58118,84.3234,1
ULTIMATES,745.64624,261.52,71.18221,1
COMPLEXITY,750.4162,236.13634,295.4531,0
COMPLEXITY,733.1657,252.82484,200.8861,0
ULTIMATES,763.80786,269.73917,162.04735,0
COMPLEXITY,721.74817,260.37137,121.49703,0
ULTIMATES,733.89136,268.46414,111.78955,0
COMPLEXITY,711.3009,269.86884,136.50415,1
ULTIMATES,716.20703,272.42578,131.85286,1
COMPLEXITY,709.5037,258.51028,64.59293,0
ULTIMATES,760.7438,242.95383,230.27861,1
ULTIMATES,657.64886,244.98792,69.895584,0
ULTIMATES,732.9302,259.87152,219.39787,0
ULTIMATES,712.47046,282.0423,92.640495,0
100%,763.9264,251.5009,295.14224,1
100%,822.83307,228.7433,295.53088,1
100%,794.19006,263.16034,177.67937,1
100%,819.033,263.4855,200.12024,1
GEEKAY ESPORTS,755.2719,253.20929,113.10197,0
NIP,743.3123,230.13577,155.33217,0
GEEKAY ESPORTS,799.1517,265.6445,193.9953,1
NIP,742.8029,261.1712,112.66439,1
100%,,,,0
GEEKAY ESPORTS,752.28265,273.41635,123.14575,0
NIP,717.13324,263.67566,47.189587,1
RRG,747.152,250.63696,167.32646,0
GEEKAY ESPORTS,760.67773,268.85352,60.227894,0
NIP,749.66187,222.33849,188.67378,1
RRG,686.1881,271.11472,98.43176,0
100%,803.91943,269.63574,171.80879,0
100%,776.882,280.0868,43.124756,1
KARMINE CORP,727.68115,257.95004,201.24626,1
ASCEND,702.67957,239.68018,122.26721,0
100%,769.4894,261.6783,164.9073,1
KARMINE CORP,801.2963,245.0988,265.1216,1
ASCEND,717.75134,238.87292,214.0271,1
KARMINE CORP,800.74756,256.42282,153.79898,1
ASCEND,697.3757,266.0936,80.19639,1
CALIENTE,704.85254,226.16867,154.44214,1
KARMINE CORP,780.2754,261.27737,74.88907,0
100%,705.64954,263.8242,88.33993,1
ASCEND,736.1351,219.13441,196.54305,0
TEAM JJROX,742.97076,267.1124,105.86975,0
REDEMPTION,740.1886,290.63736,75.90257,1
KARMINE CORP,762.12994,272.5255,149.49986,1
CALIENTE,810.31866,251.4126,175.50658,0
CALIENTE,751.5313,269.6346,79.31949,0
ASCEND,719.67236,281.63742,148.76276,0
ASCEND,716.3962,273.00473,57.44972,1
TEAM JJROX,720.27783,239.92445,184.73083,0
CALIENTE,723.07947,253.82889,157.85173,1
CALIENTE,744.27295,257.80762,184.41307,1
F4WD,789.035,236.18073,229.20345,1
KARMINE CORP,721.9712,266.4668,83.901054,1
ASCEND,660.97644,226.93416,153.84862,0
ASCEND,724.1691,265.95776,118.9761,0
TEAM JJROX,756.3946,235.49243,218.69258,0
REDEMPTION,745.60504,292.3204,47.229416,1
CALIENTE,782.8071,253.04877,226.51668,1
CALIENTE,735.622,255.45618,219.26074,1
ASCEND,660.6763,242.80437,77.41804,1
CALIENTE,773.50385,268.0257,162.13696,0
CALIENTE,782.5128,249.72826,153.47766,0
REDEMPTION,701.46326,271.31412,149.81621,0
ASCEND,690.03296,261.4049,78.10494,0
KARMINE CORP,752.62244,241.47256,56.35587,1
REDEMPTION,695.7501,254.94151,184.5052,0
ASCEND,709.4643,247.4698,164.88243,0
SYNERGY,700.30054,255.70558,67.81008,0
KARMINE CORP,702.8577,251.72733,154.29163,1
REDEMPTION,772.67365,264.43756,164.61504,0
M8 ALPINE,721.39264,252.84389,176.56801,1
SYNERGY,731.6467,269.46005,108.39016,0
KARMINE CORP,795.2817,278.10413,154.39964,1
M8 ALPINE,699.42664,268.87805,83.23535,0
ASCEND,753.09644,258.77957,112.86788,1
SYNERGY,701.8566,272.51962,148.06218,0
M8 ALPINE,627.3232,230.24858,80.75295,1
ASCEND,678.4078,263.01486,63.45754,0
M8 ALPINE,728.8078,237.9116,112.74659,0
CALIENTE,758.6523,264.1556,187.0572,1
CALIENTE,801.1477,277.27786,227.75208,0
CALIENTE,774.2848,258.1458,115.843544,0
100%,848.85223,253.13654,262.8069,0
